"                                                                                                           COLLISION NARRATIVE SEARCH  RESULTS BASED ON THE KEYWORD ""SCOOTER"":  JUNE 1, 2019 - JUNE 30, 2022",,,,,,,,,,,,,,,,,,,,,,
MFN,DATE,TIME,DOW,STR#,DIR,ROADWAY,SUF,MP,LATITUDE,LONGITUDE,INTERSECTION,#UNITS,#VEH#,#KILL,#INJURED,WEATHER,RD\COND,H&R,DIRECTIONAL ANALYSIS,MANNER,RDCHAR,LIGHT COND
72630464,5/30/21,1628,Sunday,,,LARKWOOD,DR,0.556,38.01238449,-84.44418277,SWEETWOOD PL,2,2,0,0,CLOUDY,DRY,true,REAR END - ONE VEHICLE TURNING RIGHT,REAR END,STRAIGHT & LEVEL,DAYLIGHT
72631721,6/1/21,1530,Tuesday,,N,LIMESTONE,,,38.04637796,-84.4970411,,1,1,0,1,CLOUDY,DRY,false,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72631220,6/2/21,0300,Wednesday,,S,BROADWAY,,5.517,38.03751763,-84.51751469,,2,2,1,0,RAINING,WET,true,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72632691,6/5/21,0100,Saturday,,W,SHORT,ST,0.472,38.04893791,-84.498712,,2,1,0,1,CLOUDY,DRY,true,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72641388,6/28/21,1500,Monday,,,JEFFERSON,ST,0.289,38.05486114,-84.49864037,3RD ST,2,2,0,1,CLEAR,DRY,true,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72643198,7/2/21,1940,Friday,,,FEATHERSTON,DR,0.122,37.97414419,-84.45380982,,2,1,0,0,CLEAR,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT
72645272,7/9/21,0102,Friday,,W,MAIN,ST,14.233,38.05000721,-84.50111919,VINE ST,1,1,0,0,CLOUDY,WET,false,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED
72656198,8/8/21,0221,Sunday,800,S,BROADWAY,,5.928,38.04125542,-84.51232569,,2,2,0,1,CLEAR,DRY,false,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72661769,8/22/21,2142,Sunday,,S,LIMESTONE,,5.137,38.03462504,-84.50842283,VIRGINIA AVE,2,1,0,0,CLEAR,DRY,false,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72662084,8/23/21,1713,Monday,700,W,MAIN,ST,14.524,38.05305499,-84.50449335,,2,2,0,0,CLEAR,DRY,false,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & HILLCREST,DAYLIGHT
72664675,8/30/21,0800,Monday,,S,BROADWAY,,6.186,38.04593528,-84.50414203,,2,2,0,0,CLOUDY,DRY,true,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72668555,9/8/21,1738,Wednesday,,,VIRGINIA,AVE,0.322,38.03679133,-84.51351504,,2,2,0,2,CLEAR,DRY,false,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DUSK
72670199,9/13/21,1750,Monday,,N,BROADWAY,,7.124,38.05498337,-84.49125888,5TH ST,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72672250,9/18/21,1606,Saturday,2300,,GREY LAG,WAY,0.161,38.03750408,-84.42470014,,2,2,0,0,CLEAR,DRY,false,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT
72681184,10/10/21,1611,Sunday,,,SHAFTSBURY,RD,0.061,38.05654353,-84.4534652,CRICKLEWOOD DR,2,1,0,1,CLEAR,DRY,false,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72682881,10/15/21,0315,Friday,,S,UPPER,ST,0.179,38.04547877,-84.50038506,,1,1,0,0,CLEAR,DRY,false,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/OFF
72704801,12/4/21,1513,Saturday,,E,MAXWELL,ST,0.341,38.03971564,-84.49708628,ROSE ST,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72707057,12/9/21,1014,Thursday,,,COOPER,DR,0.021,38.02811166,-84.51031079,,2,2,0,1,CLEAR,DRY,false,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72714034,12/27/21,1600,Monday,,,NICHOLASVILLE,RD,3.956,38.0169407,-84.51468581,ROSEMONT GDN,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72735496,2/28/22,0825,Monday,,,GAZETTE,AVE,0.007,38.03241622,-84.50931487,,2,2,0,0,CLEAR,DRY,true,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAWN
72752311,4/19/22,1719,Tuesday,,,DELMONT,DR,0.01,38.04943349,-84.52822206,VERSAILLES RD,2,2,0,0,CLEAR,DRY,true,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72763971,5/20/22,1945,Friday,,,RANSOM,AVE,0.103,38.03936063,-84.49161794,OLD VINE ST,2,2,0,0,CLEAR,DRY,false,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72771291,6/9/22,1500,Thursday,500,W,NEW CIRCLE,RD,10.214,38.07180286,-84.47927279,,2,2,0,0,CLEAR,DRY,true,COLLISION IN PARKING LOT,BACKING,STRAIGHT & LEVEL,UNKNOWN
72771471,6/11/22,0001,Saturday,800,S,BROADWAY,,5.927,38.04124484,-84.51233705,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72774771,6/20/22,2116,Monday,,,WARD,DR,0.145,38.09171269,-84.47234404,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK
,,,,,,,,,,,,,,,,,,,,,,
Source:  KyOps/Simple Search,,,,,,,,,,,,,,,,,,,,,,
Prepared by: Darrell Doty  8/22/2022,,,,,,,,,,,,,,,,,,,,,,
