,,,,,,,,,,,,,,,,,,
DATE,TIME,DOW,STR#,DIR,ROADWAY,SUF,INTERSECTION,#UNITS,#VEH#,#KILL,#INJURED,WEATHER,RD\COND,H&R,DIRECTIONAL ANALYSIS,MANNER,RDCHAR,LIGHT COND
2/21/20,2011,Friday,,,WINSLOW,ST,,2,1,0,0,CLEAR,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
2/25/20,1348,Tuesday,,S,UPPER,ST,BOLIVAR ST,2,1,0,0,CLEAR,DRY,true,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
3/6/20,0846,Friday,,,MAN O WAR,BLVD,,2,1,0,1,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
4/9/20,1400,Thursday,,,VERSAILLES,RD,DELMONT DR,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
5/2/20,1245,Saturday,,,CANE RUN,RD,HAWTHORNE LN,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
5/8/20,0502,Friday,,,NICHOLASVILLE,RD,,2,1,0,1,CLOUDY,DRY,false,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON
5/22/20,1419,Friday,,,HILL N DALE,RD,,2,1,0,1,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
5/28/20,0808,Thursday,,,TATES CREEK,RD,DOVE RUN RD,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
5/31/20,0830,Sunday,300,W,NEW CIRCLE,RD,,2,1,0,0,CLOUDY,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
5/31/20,1954,Sunday,,,FORSYTHE,DR,GLADMAN WAY,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
6/7/20,1955,Sunday,,,BULL LEA,RD,CITATION BLVD,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/9/20,1055,Tuesday,,,CHEROKEE,PARK,NICHOLASVILLE RD,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/20/20,1159,Saturday,,,PALUMBO,DR,MAN O WAR BLVD,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/29/20,1358,Monday,,S,LIMESTONE,,,2,1,0,0,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/1/20,1510,Wednesday,,,NICHOLASVILLE,RD,ROJAY DR,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/4/20,2307,Saturday,,N,LIMESTONE,,7TH ST,2,1,0,1,CLEAR,DRY,true,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON
7/6/20,1655,Monday,,,HOLLOW CREEK,RD,RODNEY PL,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/9/20,2030,Thursday,,,NEWTOWN,PIKE,,2,1,0,1,CLEAR,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON
7/17/20,2000,Friday,3500,,AMBER KING,CT,,2,1,0,0,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/5/20,1939,Wednesday,,,BULL LEA,RD,CITATION BLVD,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/21/20,1820,Friday,,S,LIMESTONE,,,2,1,0,0,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
8/25/20,0638,Tuesday,,,HOSPITAL,DR,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/5/20,2104,Saturday,,S,BROADWAY,,RED MILE RD,2,1,0,0,CLEAR,DRY,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
9/8/20,1921,Tuesday,,,MOSS,DR,MOSS CT,2,1,0,0,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,CURVE & HILLCREST,DAYLIGHT
9/14/20,1205,Monday,,N,BROADWAY,,,2,1,0,1,CLOUDY,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/17/20,1423,Thursday,,,FREIGHT,BLVD,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/23/20,0650,Wednesday,,,DELAWARE,AVE,,2,1,0,1,CLEAR,DRY,true,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
9/25/20,1350,Friday,,,HARRODSBURG,RD,LARKSPUR DR,2,1,0,1,CLEAR,DRY,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/28/20,1430,Monday,300,,VIRGINIA,AVE,,2,1,0,1,CLOUDY,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
10/4/20,1035,Sunday,700,,WINCHESTER,RD,,2,1,0,1,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
